year,brand,model,location,price,mileage,body_type,exterior_colour,interior_colour,door,passenger,transmission,drive_type,displacement,cylinder,fuel
2019,GMC,Savana,Aurora,"$35,995","19,000",-,-,-,2,-,Automatic,-,#NAME?,8,-
2018,GMC,Savana,Aurora,"$25,400","21,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2018,Ford,Transit,Aurora,"$30,995","22,748",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,GMC,Savana,Aurora,"$29,485","9,000",-,-,-,-,-,Automatic,-,#NAME?,6,-
2019,GMC,Savana,Aurora,"$29,985","14,000",Commercial,-,-,3,2,Automatic,RWD,4.3L,8,Flex
2017,Ford,Transit,Aurora,"$26,985","98,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,Ford,Transit,Aurora,"$35,985","20,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2011,Ford,E-450,Aurora,"$15,995","182,018",Commercial,-,-,2,-,Automatic,-,#NAME?,8,-
2019,Chevrolet,Express,Aurora,"$29,400","13,590",Commercial,-,-,-,-,Automatic,-,#NAME?,6,-
2019,Chevrolet,Express,Aurora,"$29,480","7,000",Commercial,-,-,-,-,-,-,#NAME?,-,-
2019,Chevrolet,Express,Aurora,"$29,985","20,000",Commercial,-,-,-,-,Automatic,-,#NAME?,6,-
2019,GMC,Savana,Aurora,"$28,985","13,000",-,-,-,-,-,Automatic,-,#NAME?,8,-
2018,Ford,Transit,Aurora,"$29,985","48,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,GMC,Savana,Aurora,"$29,985","13,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2019,Chevrolet,Express,Aurora,"$26,985","11,000",Commercial,-,-,-,-,-,-,#NAME?,-,-
2018,Chevrolet,Express,Aurora,"$25,995","43,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2017,Chevrolet,Express,Aurora,"$23,580","45,000",Commercial,-,-,3,2,Automatic,RWD,4.8L,8,Gasoline
2018,Chevrolet,Express,Aurora,"$25,995","29,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2017,GMC,Savana,Aurora,"$24,280","16,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2017,Chevrolet,Express,Aurora,"$23,650","44,895",Commercial,-,-,3,2,Automatic,RWD,4.8L,8,Gasoline
2017,GMC,Savana,Aurora,"$28,995","53,000",Commercial,-,-,2,2,Automatic,RWD,6.0L,8,Gasoline
2017,Ford,Transit,Aurora,"$26,495","99,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2017,Ford,Transit,Aurora,"$28,985","47,000",Commercial,-,-,-,-,Automatic,-,#NAME?,6,-
2019,GMC,Savana,Aurora,"$30,985","13,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2018,Chevrolet,Express,Aurora,"$25,995","30,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2018,Chevrolet,Express,Aurora,"$25,985","35,000",-,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,Ford,Transit,Aurora,"$35,985","21,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,Ford,E-450,Aurora,$CALL,"20,000",-,-,-,-,-,-,-,#NAME?,-,-
2019,GMC,Savana,Aurora,"$29,995","22,373",Commercial,-,-,3,2,Automatic,RWD,4.3L,6,Flex
2019,Ford,E-450,Aurora,$CALL,"27,000",-,-,-,-,-,-,-,#NAME?,-,-
2016,Ford,F-150,Aurora,"$24,995","127,000",Truck,-,-,4,5,Automatic,4x4,#NAME?,-,Flex
2017,GMC,Savana,Aurora,"$22,894","69,000",Commercial,-,-,3,2,Automatic,RWD,4.8L,8,Gasoline
2018,Chevrolet,Express,Aurora,$CALL,"24,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,8,-
2017,Chevrolet,Express,Aurora,$CALL,"20,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,8,-
2017,Chevrolet,Express,Aurora,$CALL,"41,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,8,-
2013,Chevrolet,Express,Aurora,"$15,995","159,000",Commercial,-,-,-,-,-,-,#NAME?,-,-
2013,Chevrolet,Express,Aurora,"$15,985","159,000",-,-,-,-,-,Automatic,-,#NAME?,8,-
2017,Ford,Transit,Aurora,"$27,985","79,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2017,Ford,Transit,Aurora,"$26,895","95,123",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2018,Chevrolet,Express,Aurora,"$25,985","30,889",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,Ford,E-450,Aurora,"$35,985","20,810",-,-,-,-,-,-,-,#NAME?,-,-
2013,Chevrolet,Express,Aurora,"$15,985","159,000",-,-,-,-,-,-,-,#NAME?,-,-
2013,GMC,Savana,Aurora,"$17,959","161,060",-,-,-,3,-,Automatic,RWD,#NAME?,8,Diesel
2018,Ford,Transit,Aurora,"$30,985","15,000",-,-,-,-,-,-,-,#NAME?,-,Gasoline
2018,Chevrolet,Express,Aurora,"$25,985","29,000",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2019,Chevrolet,Express,Aurora,"$26,985","32,921",-,-,-,3,-,Automatic,RWD,#NAME?,8,-
2019,GMC,Savana,Aurora,"$34,985","27,000",Commercial,-,-,2,2,Automatic,RWD,6.0L,8,Flex
2019,GMC,Savana,Aurora,"$29,642","7,000",-,-,-,-,-,-,-,#NAME?,-,-
2015,Ford,Transit,Aurora,"$14,985","131,000",Commercial,-,-,4,-,Automatic,FWD,#NAME?,4,-
2017,Ford,Transit,Aurora,"$25,985","114,000",Commercial,-,-,-,-,Automatic,-,#NAME?,6,-
2018,Ford,Transit,Aurora,"$29,985","45,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2017,Ford,Transit,Aurora,"$26,985","95,055",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2019,Chevrolet,Express,Aurora,"$26,985","14,000",Commercial,-,-,3,-,Automatic,RWD,#NAME?,6,-
2007,Dodge,Sprinter,Aurora,"$9,995","233,000",-,-,-,3,-,Automatic,RWD,#NAME?,6,-
