year,price,mileage,door,passenger,displacement,cylinder,body_type_num,location_index,exterior_color(i),interior_color(i),transmission(i),drive_type(i),fuel_index,brand_i,country_i,real_year,vehicle_id
2017,27995,43044,4,7,2.5,4,2.0,1,1,0,0,2,0,15,0,3.29,208
2010,11995,18256,4,5,2.5,4,1.0,1,4,0,0,0,0,16,2,5.76,209
2016,35995,65000,4,5,5.0,8,5.0,1,4,0,0,4,0,16,2,4.71,210
2016,29995,160000,4,5,5.0,8,5.0,1,5,0,0,4,0,16,2,8.67,211
2016,16860,65104,4,5,2.5,4,2.0,1,0,0,0,2,0,15,0,4.71,212
2018,23160,11,4,5,1.5,4,2.0,1,0,0,0,2,0,6,0,1.0,213
2016,19298,52000,4,5,2.4,4,2.0,1,2,0,0,4,0,24,0,4.17,214
2016,15998,127000,4,5,2.4,4,2.0,1,1,0,0,4,0,24,0,7.29,215
2019,24798,33500,4,5,1.5,4,2.0,1,2,0,0,4,0,24,0,1.9,216
2018,21298,48300,4,5,2.0,4,2.0,1,8,0,0,4,0,24,0,3.01,217
2019,27798,26900,4,5,1.5,4,2.0,1,1,0,0,4,0,24,0,1.62,218
2017,18998,38900,4,5,2.4,4,2.0,1,8,0,0,4,0,24,0,3.12,219
2018,20898,43000,4,5,2.0,4,2.0,1,8,3,0,4,0,24,0,2.79,220
2016,19298,52000,4,5,2.4,4,2.0,1,1,0,0,4,0,24,0,4.17,221
2019,32598,37300,4,7,3.0,6,2.0,1,2,0,0,4,0,24,0,2.05,222
2019,27798,22000,4,5,1.5,4,2.0,1,5,0,0,4,0,24,0,1.42,223
2013,10598,103000,4,5,2.0,4,1.0,1,1,0,0,0,0,24,0,7.79,224
2014,6598,122250,4,5,1.2,3,4.0,1,2,0,0,0,0,24,0,8.09,225
2011,8995,111724,4,7,2.4,4,9.0,1,2,0,0,0,0,9,1,9.16,226
2015,10995,68889,4,5,1.8,4,1.0,1,2,0,0,0,0,5,0,5.37,227
2016,11995,90214,4,5,1.8,4,1.0,1,1,0,0,0,0,9,1,5.76,228
2019,39995,34000,4,5,3.6,6,2.0,1,2,0,0,4,0,4,2,1.92,229
2019,17995,7652,4,5,1.4,4,1.0,1,4,0,0,0,0,12,2,0.82,230
2007,6990,203000,4,7,4.0,6,2.0,1,7,1,0,4,0,5,0,14.96,231
2013,6900,200768,4,5,2.4,4,2.0,1,3,0,1,4,0,4,2,11.87,232
2006,1500,236125,4,5,3.5,6,2.0,1,0,0,0,0,0,21,2,16.84,233
2016,25950,76714,4,8,3.5,6,2.0,1,0,0,0,2,0,6,0,5.2,234
2014,8860,158232,4,5,2.0,4,1.0,1,0,0,0,0,0,16,2,9.59,235
2007,8960,192096,4,5,2.4,4,2.0,1,0,0,0,4,0,0,0,14.5,236
2017,449,86239,4,5,1.5,4,1.0,1,4,0,1,0,0,6,0,5.09,237
2017,449,58464,4,5,2.0,4,9.0,1,0,0,0,2,0,8,0,3.94,238
2017,449,63219,4,5,1.4,4,1.0,1,5,0,0,0,0,12,2,4.13,239
2017,449,79553,4,5,3.5,6,5.0,1,0,0,0,2,0,6,0,4.81,240
2018,449,70401,4,5,1.5,4,2.0,1,0,0,0,2,0,6,0,3.93,241
2015,449,175025,4,5,5.7,8,5.0,1,5,0,0,4,0,7,2,9.79,242
2014,5000,203708,4,5,2.0,4,1.0,1,0,0,0,0,0,9,1,11.49,243
2016,13598,65723,4,5,1.8,4,1.0,1,1,5,0,0,0,5,0,4.74,244
2014,10998,69544,4,5,1.8,4,1.0,1,3,0,0,0,0,5,0,5.9,245
2015,12995,112901,4,5,2.5,4,1.0,1,1,0,1,0,0,15,0,7.2,246
2018,18995,34077,4,5,1.5,4,1.0,1,1,0,0,0,0,6,0,2.42,247
2014,8995,169005,4,5,2.0,4,1.0,1,3,0,0,0,2,12,2,10.04,248
2012,12888,173929,4,8,3.5,6,7.0,1,3,0,0,0,0,6,0,11.25,249
2014,10986,14597,4,5,1.6,4,4.0,1,0,0,0,0,0,9,1,3.61,250
2009,3850,213326,4,5,2.4,5,1.0,1,0,0,0,0,0,19,4,14.39,251
2014,7486,131111,4,5,1.4,4,1.0,1,2,0,1,0,0,1,2,8.46,252
2016,22995,178691,4,5,2.7,6,5.0,1,1,0,0,4,0,16,2,9.45,253
2016,17960,64396,4,5,2.4,4,1.0,1,0,0,0,0,0,6,0,4.68,254
2012,25560,56305,2,4,3.6,6,2.0,1,2,0,0,4,0,4,2,6.35,255
2015,6500,206374,4,7,3.0,6,2.0,1,3,0,0,4,0,24,0,11.1,256
2010,3000,245104,4,5,3.5,6,2.0,1,3,0,0,0,0,2,1,15.21,257
2008,1500,317900,4,5,1.8,4,1.0,1,1,0,1,0,0,6,0,19.25,258
2007,2500,215267,4,5,1.8,4,4.0,1,7,0,0,0,0,23,2,15.47,259
2006,3000,195863,4,5,3.6,6,1.0,1,0,0,1,3,0,25,2,15.16,260
2018,35550,9908,2,4,3.6,6,6.0,1,3,0,0,3,0,12,2,1.41,261
2019,69550,3601,2,2,6.2,8,3.0,1,1,0,0,3,0,12,2,0.65,262
2018,32550,50001,4,7,3.6,6,2.0,1,2,0,0,0,0,12,2,3.08,263
2013,8995,100145,4,5,2.0,4,1.0,1,7,0,0,0,0,16,2,7.67,264
2016,11995,76029,4,5,2.0,4,1.0,1,5,0,0,0,0,15,0,5.17,265
2017,18788,64901,4,5,1.8,4,2.0,1,4,0,0,2,0,6,0,4.2,266
2015,10990,57000,4,5,2.0,4,4.0,1,7,1,0,0,0,9,1,4.88,267
2016,7990,185000,4,5,1.6,4,4.0,1,3,1,0,0,0,9,1,9.71,268
2010,6300,135076,5,5,1.8,4,4.0,1,4,0,1,0,0,0,0,10.63,269
2016,42986,111871,4,6,6.7,6,5.0,1,7,0,0,4,2,7,2,6.66,270
2018,19586,56000,4,5,1.5,4,2.0,1,0,0,0,0,0,16,2,3.33,271
2010,8600,160000,4,8,3.7,6,2.0,1,2,0,0,2,0,15,0,11.67,272
2014,27758,86235,4,5,3.6,6,2.0,1,1,0,0,4,0,4,2,6.59,273
2016,18458,147475,4,5,2.5,4,2.0,1,5,0,0,2,0,0,0,8.14,274
2016,32058,90685,4,5,3.5,6,5.0,1,4,0,0,4,0,0,0,5.78,275
2018,23558,28758,4,5,2.5,4,2.0,1,4,0,0,0,0,0,0,2.2,276
2017,19858,70694,4,5,2.5,4,2.0,1,2,0,0,2,0,0,0,4.45,277
2017,19658,49082,4,5,2.5,4,2.0,1,3,0,0,0,0,0,0,3.55,278
2019,29995,7061,4,5,1.8,4,9.0,1,7,0,0,2,0,17,3,0.79,279
2015,13495,66750,4,5,2.5,4,1.0,1,0,0,0,0,0,5,0,5.28,280
2018,30995,116285,4,5,2.7,6,2.0,1,1,0,0,2,0,16,2,5.85,281
2015,17444,5835,4,5,1.4,4,1.0,1,7,0,0,0,0,12,2,2.74,282
2015,19998,58763,4,5,2.5,4,2.0,1,2,0,0,2,0,5,0,4.95,283
2012,12988,231804,4,5,4.0,6,5.0,1,1,1,0,3,0,5,0,13.66,284
2018,19995,61185,4,5,2.5,4,1.0,1,4,0,0,0,0,15,0,3.55,285
2018,25995,89173,4,5,2.5,4,2.0,1,0,0,0,4,0,15,0,4.72,286
2018,19995,106804,4,5,2.5,4,2.0,1,2,0,0,0,0,15,0,5.45,287
2018,20995,34231,4,5,2.5,4,1.0,1,2,0,0,0,0,15,0,2.43,288
2016,20495,98155,4,5,2.5,4,2.0,1,0,0,0,4,0,15,0,6.09,289
2017,19995,73173,4,5,2.0,4,2.0,1,4,0,0,4,0,15,0,4.55,290
2012,6990,193000,4,5,3.6,6,1.0,1,2,1,0,0,0,17,3,12.04,291
2012,6990,229000,4,5,3.6,6,9.0,1,2,1,0,2,0,8,0,13.54,292
2012,7990,146000,4,4,1.6,4,4.0,1,1,1,1,2,0,26,5,10.08,293
2014,12286,137123,4,5,2.4,4,2.0,1,0,0,0,4,0,4,2,8.71,294
2016,18260,121862,4,5,2.4,4,1.0,1,0,0,0,0,0,6,0,7.08,295
2017,24498,76213,4,5,2.5,4,2.0,1,5,0,0,2,0,5,0,4.68,296
2015,14995,128015,4,7,3.6,6,7.0,1,5,0,0,0,1,1,2,7.83,297
2015,13995,142346,4,5,2.4,4,1.0,1,1,0,0,0,0,6,0,8.43,298
2019,29995,33828,4,5,2.5,4,2.0,1,2,0,0,4,0,15,0,1.91,299
2014,14995,86066,4,5,2.5,4,1.0,1,3,0,0,0,0,15,0,6.59,300
2011,10888,180645,4,7,3.5,6,7.0,1,0,0,0,0,0,6,0,12.03,301
